iso2c,country,year,growth,growth_pc,gdp_ppp,gdp_ppp_pc,unemployment,population
AT,Austria,1995,2.66798353089548,2.51091269369834,320851882029.371,40367.4710458506,4.35,7948278
AT,Austria,1996,2.34953385169727,2.21143493269341,328390405611.459,41260.1714020034,5.28,7959017
AT,Austria,1997,2.09359938952392,1.97797590805702,335265585138.596,42076.2876519581,5.15,7968041
AT,Austria,1998,3.58142581460447,3.46782994124915,347272873352.234,43535.4217533188,5.52,7976789
AT,Austria,1999,3.55633124664169,3.35504466142362,359623047058.37,44996.0545966818,4.7,7992324
AT,Austria,2000,3.37572214708479,3.12743665014771,371762921903.941,46403.2776992589,4.69,8011566
AT,Austria,2001,1.26716818922992,0.88025909788611,376473783389.659,46811.746772924,4.01,8042293
AT,Austria,2002,1.65155392186669,1.15267633135774,382691450924.031,47351.3346982706,4.85,8081957
AT,Austria,2003,0.941470920725337,0.450946527234535,386294379650.582,47564.8638976916,4.78,8121423
AT,Austria,2004,2.73512022241023,2.09971116889712,396859995346.44,48563.5886574222,5.83,8171966
AT,Austria,2005,2.24406532463878,1.54987731693588,405765792889.372,49316.2647023136,5.63,8227829
AT,Austria,2006,3.45404183614122,2.94341785870446,419781113132.521,50767.8484448075,5.24,8268641
AT,Austria,2007,3.72741530093519,3.39173082681461,435428098573.859,52489.7572106205,4.86,8295487
AT,Austria,2008,1.4604236757386,1.14330711888604,441787193616.25,53089.8763414956,4.13,8321496
AT,Austria,2009,-3.76457817791677,-4.01634004211772,425155769332.542,50957.6063796813,5.3,8343323
AT,Austria,2010,1.83709367680054,1.59257712849987,432966279087.502,51769.1455641151,4.82,8363404
AT,Austria,2011,2.92279728368581,2.57644831811446,445621005731.947,53102.950844304,4.56,8391643
AT,Austria,2012,0.680445576816723,0.222450576943075,448653214154.817,53221.0786648309,4.87,8429991
AT,Austria,2013,0.0255047121972183,-0.562298942527448,448767641865.85,52921.8171022969,5.34,8479823
AT,Austria,2014,0.661272848852605,-0.122370667337563,451735220435.945,52857.0563215416,5.62,8546356
AT,Austria,2015,1.01450158590511,-0.111540189504495,456318081411.36,52798.0994607541,5.72,8642699
AT,Austria,2016,1.98943716230463,0.892469139632297,465396242901.273,53269.3062047537,6.01,8736668
AT,Austria,2017,2.39958760332166,1.69076313006771,476563833452.257,54169.9639937065,5.5,8797566
AT,Austria,2018,2.58012073304926,2.0816965919734,488859755725.373,55297.6182880367,4.85,8840521
AT,Austria,2019,1.41873427248989,0.968753111443178,495795376624.259,55833.3156857561,4.49,8879920
AT,Austria,2020,-6.25903481882027,-6.65098856293406,464763371371.245,52119.8482451895,5.77,8917205
BE,Belgium,1962,5.21200350925528,4.79403451766454,,,,9220578
BE,Belgium,1963,4.35158428167051,3.57435354079992,,,,9289770
BE,Belgium,1964,6.95668473344102,5.9491393563053,,,,9378113
BE,Belgium,1965,3.56065983986036,2.62444466112051,,,,9463667
BE,Belgium,1966,3.15589498173408,2.46146245343786,,,,9527807
BE,Belgium,1967,3.86814694690112,3.29157574176963,,,,9580991
BE,Belgium,1968,4.19412962494732,3.78504436430799,,,,9618756
BE,Belgium,1969,6.62979979529467,6.32828364655947,,,,9646032
BE,Belgium,1970,5.58285828431475,5.47879045116598,,,,9655549
BE,Belgium,1971,3.98582711048847,3.79648857021621,,,,9673162
BE,Belgium,1972,5.29560474284025,4.88408823965759,,,,9711115
BE,Belgium,1973,6.38170195750001,6.04748869860843,,,,9741720
BE,Belgium,1974,4.56525797284306,4.23677749584877,,,,9772419
BE,Belgium,1975,-1.96594156584821,-2.2488296459421,,,,9800700
BE,Belgium,1976,5.65274593317993,5.46414001910085,,,,9818227
BE,Belgium,1977,0.626154854021308,0.501978716739828,,,,9830358
BE,Belgium,1978,2.84189649082269,2.74598979013953,,,,9839534
BE,Belgium,1979,2.34107295556814,2.2491275158491,,,,9848382
BE,Belgium,1980,4.44405387639348,4.32900827500772,,,,9859242
BE,Belgium,1981,-0.279283279362133,-0.276653455476932,,,,9858982
BE,Belgium,1982,0.594986772001008,0.622329069570625,,,,9856303
BE,Belgium,1983,0.311842702585196,0.319812264093457,,,,9855520
BE,Belgium,1984,2.46638280528001,2.46792156248318,,,,9855372
BE,Belgium,1985,1.6517928990972,1.6215189754227,,,,9858308
BE,Belgium,1986,1.82276183101794,1.78646965584545,,,,9861823
BE,Belgium,1987,2.30665956583917,2.21947811567212,,,,9870234
BE,Belgium,1988,4.72320888032857,4.39079500978028,,,,9901664
BE,Belgium,1989,3.46916698368338,3.09399912598727,,,,9937697
BE,Belgium,1990,3.13740231557445,2.83026797508926,353857226789.948,35501.5322272734,,9967379
BE,Belgium,1991,1.83307427728701,1.45537172593085,360343692592.556,36018.2114895813,6.99,10004486
BE,Belgium,1992,1.53065494385902,1.11956586015553,365859311138.108,36421.4590888573,6.7,10045158
BE,Belgium,1993,-0.961873309776593,-1.34799970972101,362340208072.938,35930.4979260634,8.08,10084475
BE,Belgium,1994,3.22697152488935,2.90931876907965,374032823410.676,36975.8306460501,9.65,10115603
BE,Belgium,1995,2.38475727961249,2.17055027384056,382952598395.103,37778.4096393928,9.34,10136811
BE,Belgium,1996,1.32145093041325,1.12366901833482,388013129069.636,38202.9139241302,9.48,10156637
BE,Belgium,1997,3.79365762950188,3.54278906412047,402733018744.056,39556.3625808097,8.96,10181245
BE,Belgium,1998,1.96180827198427,1.7443238954726,410633868419.788,40246.3536654865,9.32,10203008
BE,Belgium,1999,3.54274346363066,3.30570651382183,425181572952.684,41576.7800001823,8.65,10226419
BE,Belgium,2000,3.71667938420875,3.46545257130404,440984208820.071,43017.603591764,6.59,10251250
BE,Belgium,2001,1.09961888777849,0.752482909593709,445833354472.377,43341.3037069088,6.18,10286570
BE,Belgium,2002,1.70688458453354,1.25198460635012,453443215272.575,43883.9301575108,6.91,10332785
BE,Belgium,2003,1.03798254902905,0.615879780344869,458149876716.86,44154.2024101715,7.68,10376133
BE,Belgium,2004,3.5712043433582,3.12392891839559,474511345013.263,45533.5483079498,7.36,10421137
BE,Belgium,2005,2.32173705381926,1.76045559407572,485528250735.012,46335.1462063183,8.44,10478617
BE,Belgium,2006,2.55234994366351,1.87818319997308,497920630769.118,47205.4051380483,8.25,10547958
BE,Belgium,2007,3.67688113594973,2.91833834881372,516228580513.869,48583.0185789049,7.46,10625700
BE,Belgium,2008,0.446928735275904,-0.343452718095421,518535754379.893,48416.1588810628,6.98,10709973
BE,Belgium,2009,-2.02074306169408,-2.80592074025158,508057479100.858,47057.6398373859,7.91,10796493
