Source: IEA Energy Transitions Indicators https://www.iea.org/reports/energy-transitions-indicators
Documentation: https://iea.blob.core.windows.net/assets/73f40d94-d523-4d1b-9084-7029a33ed8fa/TransitionIndicators_Documentation.pdf
This data is subject to the IEA's terms and conditions: https://www.iea.org/terms

,Share of renewables in power generation,Share of low carbon sources in power generation,Share of coal in power generation,Share of oil in power generation,Share of gas in power generation,Units
1990,3,26,60,3,10,%
1995,5,28,54,3,14,%
2000,6,32,53,2,13,%
2005,9,31,46,2,20,%
2010,15,33,42,1,21,%
2015,27,39,42,1,15,%
2019,36,46,30,1,20,%
